0,norms
"frozen meals,specialty bar","frozen meals,specialty bar"
whole milk,whole milk
"sausage,tropical fruit,berries,yogurt,shopping bags","berries,sausage,shopping bags,tropical fruit,yogurt"
"pork,packaged fruit/vegetables,ice cream,oil,detergent","detergent,ice cream,oil,packaged fruit vegetables,pork"
"root vegetables,other vegetables,canned fish,shopping bags","canned fish,other vegetables,root vegetables,shopping bags"
waffles,waffles
"berries,root vegetables,whole milk,butter,rolls/buns,salty snack","berries,butter,rolls buns,root vegetables,salty snack,whole milk"
"hamburger meat,frozen meals,red/blush wine","frozen meals,hamburger meat,red blush wine"
waffles,waffles
"chicken,frozen vegetables,soda,canned beer,hygiene articles","canned beer,chicken,frozen vegetables,hygiene articles,soda"
"chicken,tropical fruit,root vegetables,whole milk,white bread,specialty bar,shopping bags","chicken,root vegetables,shopping bags,specialty bar,tropical fruit,white bread,whole milk"
"frankfurter,whole milk,dessert,white bread,shopping bags","dessert,frankfurter,shopping bags,white bread,whole milk"
cooking chocolate,cooking chocolate
"pork,canned beer","canned beer,pork"
"root vegetables,whole milk,rolls/buns,zwieback,newspapers","newspapers,rolls buns,root vegetables,whole milk,zwieback"
"cream cheese,brown bread","brown bread,cream cheese"
chocolate,chocolate
"brown bread,hair spray","brown bread,hair spray"
"chicken,other vegetables,whole milk,curd,long life bakery product","chicken,curd,long life bakery product,other vegetables,whole milk"
"turkey,roll products,dishes","dishes,roll products,turkey"
"other vegetables,whole milk,cake bar,detergent","cake bar,detergent,other vegetables,whole milk"
grapes,grapes
"frozen potato products,ketchup,chocolate,hygiene articles,shopping bags","chocolate,frozen potato products,hygiene articles,ketchup,shopping bags"
"dog food,pet care,shopping bags","dog food,pet care,shopping bags"
"hamburger meat,whole milk,butter,UHT-milk,cat food,pet care,detergent","butter,cat food,detergent,hamburger meat,pet care,uht milk,whole milk"
"tropical fruit,bottled beer","bottled beer,tropical fruit"
citrus fruit,citrus fruit
"sausage,whole milk,curd,cat food","cat food,curd,sausage,whole milk"
"pip fruit,yogurt,brown bread","brown bread,pip fruit,yogurt"
"tropical fruit,curd,yogurt,whipped/sour cream","curd,tropical fruit,whipped sour cream,yogurt"
"frankfurter,frozen potato products,rolls/buns,specialty fat","frankfurter,frozen potato products,rolls buns,specialty fat"
sausage,sausage
baking powder,baking powder
bottled water,bottled water
root vegetables,root vegetables
bottled beer,bottled beer
zwieback,zwieback
"root vegetables,sliced cheese","root vegetables,sliced cheese"
"sausage,rolls/buns,fruit/vegetable juice,cake bar","cake bar,fruit vegetable juice,rolls buns,sausage"
"condensed milk,coffee,shopping bags","coffee,condensed milk,shopping bags"
"citrus fruit,other vegetables,beverages,snack products","beverages,citrus fruit,other vegetables,snack products"
"other vegetables,hard cheese,frozen vegetables,fruit/vegetable juice,long life bakery product","frozen vegetables,fruit vegetable juice,hard cheese,long life bakery product,other vegetables"
pet care,pet care
"yogurt,canned beer","canned beer,yogurt"
"pip fruit,condensed milk,bottled beer,red/blush wine,chocolate,shopping bags","bottled beer,chocolate,condensed milk,pip fruit,red blush wine,shopping bags"
"whole milk,brown bread,soda,bottled beer,salty snack,long life bakery product,chocolate,shopping bags","bottled beer,brown bread,chocolate,long life bakery product,salty snack,shopping bags,soda,whole milk"
"other vegetables,ice cream","ice cream,other vegetables"
"meat,ice cream,rolls/buns,soda,long life bakery product,napkins","ice cream,long life bakery product,meat,napkins,rolls buns,soda"
whole milk,whole milk
"rolls/buns,dishes","dishes,rolls buns"
"ham,root vegetables,butter,UHT-milk,rolls/buns,pasta,sugar,coffee,soda","butter,coffee,ham,pasta,rolls buns,root vegetables,soda,sugar,uht milk"
"honey,flower (seeds)","flower seeds ,honey"
"chicken,citrus fruit,cat food,white wine,shopping bags","cat food,chicken,citrus fruit,shopping bags,white wine"
white wine,white wine
"semi-finished bread,bottled beer,red/blush wine","bottled beer,red blush wine,semi finished bread"
"frankfurter,pork,whole milk,yogurt,UHT-milk,brown bread","brown bread,frankfurter,pork,uht milk,whole milk,yogurt"
"other vegetables,curd,whipped/sour cream,pastry,baking powder,canned fruit","baking powder,canned fruit,curd,other vegetables,pastry,whipped sour cream"
"whole milk,pasta,long life bakery product,chocolate","chocolate,long life bakery product,pasta,whole milk"
sausage,sausage
"tropical fruit,root vegetables,whole milk,hard cheese,curd cheese,sugar,canned fish","canned fish,curd cheese,hard cheese,root vegetables,sugar,tropical fruit,whole milk"
"other vegetables,whole milk,soda","other vegetables,soda,whole milk"
"soda,bottled beer","bottled beer,soda"
specialty bar,specialty bar
"pork,berries,whole milk,butter,yogurt,whipped/sour cream,hard cheese","berries,butter,hard cheese,pork,whipped sour cream,whole milk,yogurt"
"butter,sliced cheese,frozen dessert,rolls/buns,pastry,soda,bottled beer","bottled beer,butter,frozen dessert,pastry,rolls buns,sliced cheese,soda"
"yogurt,napkins","napkins,yogurt"
"tropical fruit,pip fruit,grapes","grapes,pip fruit,tropical fruit"
bottled beer,bottled beer
"sausage,pip fruit,berries,whole milk,curd,dessert,butter milk,yogurt,whipped/sour cream,soft cheese,sliced cheese,curd cheese,domestic eggs,rolls/buns,sugar,long life bakery product","berries,butter milk,curd,curd cheese,dessert,domestic eggs,long life bakery product,pip fruit,rolls buns,sausage,sliced cheese,soft cheese,sugar,whipped sour cream,whole milk,yogurt"
"grapes,hard cheese","grapes,hard cheese"
"pork,beef,whole milk,frozen vegetables,sugar,canned beer,detergent,skin care,napkins,flower (seeds)","beef,canned beer,detergent,flower seeds ,frozen vegetables,napkins,pork,skin care,sugar,whole milk"
citrus fruit,citrus fruit
"yogurt,liquor (appetizer),nut snack,long life bakery product,hygiene articles,shopping bags","hygiene articles,liquor appetizer ,long life bakery product,nut snack,shopping bags,yogurt"
"brandy,liquor,liquor (appetizer),long life bakery product,dish cleaner,napkins,dishes,shopping bags","brandy,dish cleaner,dishes,liquor,liquor appetizer ,long life bakery product,napkins,shopping bags"
"turkey,frozen potato products,soda","frozen potato products,soda,turkey"
"whole milk,cake bar","cake bar,whole milk"
"finished products,grapes,other vegetables,curd,beverages,rolls/buns,pastry,waffles,specialty bar","beverages,curd,finished products,grapes,other vegetables,pastry,rolls buns,specialty bar,waffles"
"onions,other vegetables,soft cheese,hard cheese,salad dressing,specialty chocolate","hard cheese,onions,other vegetables,salad dressing,soft cheese,specialty chocolate"
"yogurt,specialty chocolate","specialty chocolate,yogurt"
"curd,seasonal products,female sanitary products","curd,female sanitary products,seasonal products"
"beef,root vegetables,onions,herbs,whole milk,curd cheese,rolls/buns,oil,jam,bottled water,waffles","beef,bottled water,curd cheese,herbs,jam,oil,onions,rolls buns,root vegetables,waffles,whole milk"
misc. beverages,misc beverages
"sausage,whole milk,curd,bottled beer","bottled beer,curd,sausage,whole milk"
"citrus fruit,whipped/sour cream,brown bread,bottled water,hygiene articles","bottled water,brown bread,citrus fruit,hygiene articles,whipped sour cream"
"chicken,pork,herbs,other vegetables,canned fish,misc. beverages,napkins,newspapers","canned fish,chicken,herbs,misc beverages,napkins,newspapers,other vegetables,pork"
"other vegetables,butter milk,bottled water,bottled beer","bottled beer,bottled water,butter milk,other vegetables"
ice cream,ice cream
"sausage,chicken,grapes,whole milk,cream cheese,ice cream,domestic eggs,pickled vegetables,soda,chocolate,shopping bags","chicken,chocolate,cream cheese,domestic eggs,grapes,ice cream,pickled vegetables,sausage,shopping bags,soda,whole milk"
"tropical fruit,whole milk,salty snack,kitchen towels","kitchen towels,salty snack,tropical fruit,whole milk"
"pip fruit,butter,soft cheese,white bread,misc. beverages","butter,misc beverages,pip fruit,soft cheese,white bread"
"grapes,brown bread","brown bread,grapes"
"berries,whole milk","berries,whole milk"
bottled water,bottled water
"pork,tropical fruit,nuts/prunes,rolls/buns,newspapers","newspapers,nuts prunes,pork,rolls buns,tropical fruit"
"pork,tropical fruit,processed cheese,specialty vegetables,bottled water,soda,bottled beer","bottled beer,bottled water,pork,processed cheese,soda,specialty vegetables,tropical fruit"
"sausage,rolls/buns","rolls buns,sausage"
rolls/buns,rolls buns
"whole milk,ice cream,soda","ice cream,soda,whole milk"
"beef,citrus fruit,grapes,berries,butter milk,yogurt,sliced cheese,rolls/buns","beef,berries,butter milk,citrus fruit,grapes,rolls buns,sliced cheese,yogurt"
"beef,soft cheese,chewing gum","beef,chewing gum,soft cheese"
"ham,tropical fruit,root vegetables,other vegetables,whole milk,butter,yogurt,frozen vegetables,frozen dessert,frozen potato products,white bread,pasta,honey,chewing gum,detergent,hygiene articles","butter,chewing gum,detergent,frozen dessert,frozen potato products,frozen vegetables,ham,honey,hygiene articles,other vegetables,pasta,root vegetables,tropical fruit,white bread,whole milk,yogurt"
"other vegetables,butter","butter,other vegetables"
"hamburger meat,hard cheese,sauces,coffee,toilet cleaner,shopping bags","coffee,hamburger meat,hard cheese,sauces,shopping bags,toilet cleaner"
"berries,whole milk,whipped/sour cream,pastry,soda,chewing gum,chocolate,candy","berries,candy,chewing gum,chocolate,pastry,soda,whipped sour cream,whole milk"
"sausage,processed cheese,white bread","processed cheese,sausage,white bread"
"citrus fruit,other vegetables,UHT-milk,domestic eggs,white bread,pickled vegetables","citrus fruit,domestic eggs,other vegetables,pickled vegetables,uht milk,white bread"
"whole milk,curd,yogurt,whipped/sour cream,margarine","curd,margarine,whipped sour cream,whole milk,yogurt"
citrus fruit,citrus fruit
"bottled water,long life bakery product","bottled water,long life bakery product"
"sausage,mayonnaise,rolls/buns,shopping bags","mayonnaise,rolls buns,sausage,shopping bags"
"meat,other vegetables,whole milk,pastry,soda,newspapers","meat,newspapers,other vegetables,pastry,soda,whole milk"
"tropical fruit,coffee,candy,soap,shopping bags","candy,coffee,shopping bags,soap,tropical fruit"
"pip fruit,whole milk,brown bread,fruit/vegetable juice,bottled beer,red/blush wine,shopping bags","bottled beer,brown bread,fruit vegetable juice,pip fruit,red blush wine,shopping bags,whole milk"
"other vegetables,canned beer,shopping bags","canned beer,other vegetables,shopping bags"
"berries,frozen vegetables,frozen meals","berries,frozen meals,frozen vegetables"
"other vegetables,butter,beverages,soda,photo/film,shopping bags","beverages,butter,other vegetables,photo film,shopping bags,soda"
"frankfurter,root vegetables,butter milk,canned fish,bottled beer","bottled beer,butter milk,canned fish,frankfurter,root vegetables"
"sausage,whole milk,domestic eggs,sugar,coffee,napkins,newspapers,shopping bags","coffee,domestic eggs,napkins,newspapers,sausage,shopping bags,sugar,whole milk"
"meat,hamburger meat,onions,other vegetables,condensed milk,brown bread","brown bread,condensed milk,hamburger meat,meat,onions,other vegetables"
"yogurt,oil,pickled vegetables,fruit/vegetable juice,salty snack,hygiene articles","fruit vegetable juice,hygiene articles,oil,pickled vegetables,salty snack,yogurt"
"canned beer,cookware","canned beer,cookware"
"whole milk,yogurt,cream cheese,frozen meals,shopping bags","cream cheese,frozen meals,shopping bags,whole milk,yogurt"
"sausage,other vegetables","other vegetables,sausage"
"frankfurter,other vegetables","frankfurter,other vegetables"
"frankfurter,citrus fruit,other vegetables,whole milk,yogurt,zwieback,vinegar,cleaner","citrus fruit,cleaner,frankfurter,other vegetables,vinegar,whole milk,yogurt,zwieback"
"sausage,citrus fruit,tropical fruit,root vegetables,butter milk,brown bread,mustard,popcorn,shopping bags","brown bread,butter milk,citrus fruit,mustard,popcorn,root vegetables,sausage,shopping bags,tropical fruit"
"citrus fruit,root vegetables,other vegetables,dessert,pastry,chocolate,dishes,candles","candles,chocolate,citrus fruit,dessert,dishes,other vegetables,pastry,root vegetables"
"frozen meals,soda,napkins","frozen meals,napkins,soda"
"sausage,citrus fruit,whole milk,sliced cheese,frozen meals,white bread,chewing gum,photo/film","chewing gum,citrus fruit,frozen meals,photo film,sausage,sliced cheese,white bread,whole milk"
"whole milk,brown bread,flower (seeds)","brown bread,flower seeds ,whole milk"
"ham,whole milk,sliced cheese,spread cheese,brown bread,pickled vegetables,bottled beer,shopping bags","bottled beer,brown bread,ham,pickled vegetables,shopping bags,sliced cheese,spread cheese,whole milk"
cling film/bags,cling film bags
chicken,chicken
red/blush wine,red blush wine
"chicken,grapes,whole milk,yogurt,sliced cheese,bottled water,fruit/vegetable juice","bottled water,chicken,fruit vegetable juice,grapes,sliced cheese,whole milk,yogurt"
"hamburger meat,root vegetables,other vegetables,dessert,rolls/buns","dessert,hamburger meat,other vegetables,rolls buns,root vegetables"
"bottled water,soda","bottled water,soda"
"curd,whipped/sour cream","curd,whipped sour cream"
"frankfurter,rolls/buns,ketchup,soda","frankfurter,ketchup,rolls buns,soda"
"turkey,whole milk,liquor (appetizer),shopping bags","liquor appetizer ,shopping bags,turkey,whole milk"
"tropical fruit,whole milk,rolls/buns,prosecco,salty snack,specialty bar","prosecco,rolls buns,salty snack,specialty bar,tropical fruit,whole milk"
"other vegetables,yogurt,whipped/sour cream,brown bread,margarine,shopping bags","brown bread,margarine,other vegetables,shopping bags,whipped sour cream,yogurt"
"pip fruit,bottled water,candy","bottled water,candy,pip fruit"
"meat,rolls/buns,soda,bottled beer","bottled beer,meat,rolls buns,soda"
"sausage,beef,root vegetables,other vegetables,white bread,pastry,soda,shopping bags","beef,other vegetables,pastry,root vegetables,sausage,shopping bags,soda,white bread"
"mayonnaise,white wine,shopping bags","mayonnaise,shopping bags,white wine"
"soda,specialty chocolate,male cosmetics,shopping bags","male cosmetics,shopping bags,soda,specialty chocolate"
pork,pork
rolls/buns,rolls buns
soda,soda
"whole milk,rolls/buns","rolls buns,whole milk"
berries,berries
ham,ham
"rolls/buns,liquor","liquor,rolls buns"
"rolls/buns,canned beer","canned beer,rolls buns"
"onions,whole milk,yogurt,rolls/buns,brown bread,fruit/vegetable juice","brown bread,fruit vegetable juice,onions,rolls buns,whole milk,yogurt"
"whole milk,yogurt,domestic eggs,baking powder,newspapers","baking powder,domestic eggs,newspapers,whole milk,yogurt"
"yogurt,condensed milk,sliced cheese,rolls/buns,margarine,bottled water,soda,cling film/bags","bottled water,cling film bags,condensed milk,margarine,rolls buns,sliced cheese,soda,yogurt"
rolls/buns,rolls buns
whole milk,whole milk
rolls/buns,rolls buns
"rolls/buns,bottled beer","bottled beer,rolls buns"
"pip fruit,berries,other vegetables,butter,yogurt,soda,chocolate,house keeping products","berries,butter,chocolate,house keeping products,other vegetables,pip fruit,soda,yogurt"
"frankfurter,whipped/sour cream,sugar,fruit/vegetable juice,napkins,newspapers","frankfurter,fruit vegetable juice,napkins,newspapers,sugar,whipped sour cream"
"turkey,grapes,other vegetables,hard cheese,frozen vegetables,rolls/buns,misc. beverages,newspapers","frozen vegetables,grapes,hard cheese,misc beverages,newspapers,other vegetables,rolls buns,turkey"
"onions,other vegetables,roll products,bottled beer,liquor (appetizer),newspapers","bottled beer,liquor appetizer ,newspapers,onions,other vegetables,roll products"
"beef,pip fruit,other vegetables,whole milk,frozen vegetables,rolls/buns","beef,frozen vegetables,other vegetables,pip fruit,rolls buns,whole milk"
"sausage,citrus fruit,berries,whipped/sour cream,rolls/buns,canned beer,specialty bar,napkins","berries,canned beer,citrus fruit,napkins,rolls buns,sausage,specialty bar,whipped sour cream"
"other vegetables,soft cheese,soda,bottled beer","bottled beer,other vegetables,soda,soft cheese"
"chicken,tropical fruit,berries,whole milk,whipped/sour cream,beverages,sugar,dishes","berries,beverages,chicken,dishes,sugar,tropical fruit,whipped sour cream,whole milk"
"sausage,pork,beef,pip fruit,grapes,other vegetables,whole milk,butter,curd,yogurt,pastry,bottled water,hygiene articles,napkins","beef,bottled water,butter,curd,grapes,hygiene articles,napkins,other vegetables,pastry,pip fruit,pork,sausage,whole milk,yogurt"
"tropical fruit,pip fruit,whole milk,rolls/buns,coffee,hygiene articles","coffee,hygiene articles,pip fruit,rolls buns,tropical fruit,whole milk"
"tropical fruit,root vegetables,butter,pasta,soda,napkins","butter,napkins,pasta,root vegetables,soda,tropical fruit"
"pip fruit,UHT-milk,curd cheese,coffee","coffee,curd cheese,pip fruit,uht milk"
"yogurt,soda","soda,yogurt"
"tropical fruit,root vegetables,whole milk,butter,curd,yogurt,pudding powder,coffee","butter,coffee,curd,pudding powder,root vegetables,tropical fruit,whole milk,yogurt"
"soda,canned beer","canned beer,soda"
"rolls/buns,soda","rolls buns,soda"
condensed milk,condensed milk
"domestic eggs,pastry,margarine,cooking chocolate","cooking chocolate,domestic eggs,margarine,pastry"
candles,candles
"butter milk,brown bread,pastry","brown bread,butter milk,pastry"
"whole milk,curd,semi-finished bread","curd,semi finished bread,whole milk"
"beef,herbs,whole milk,pickled vegetables,cat food","beef,cat food,herbs,pickled vegetables,whole milk"
"meat,beef,berries,other vegetables,curd,yogurt,whipped/sour cream,UHT-milk,brown bread","beef,berries,brown bread,curd,meat,other vegetables,uht milk,whipped sour cream,yogurt"
"citrus fruit,whole milk,domestic eggs","citrus fruit,domestic eggs,whole milk"
"beef,hamburger meat,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,whole milk,butter,whipped/sour cream,hard cheese,rolls/buns,brown bread,oil,waffles,cake bar","beef,brown bread,butter,cake bar,hamburger meat,hard cheese,herbs,oil,other vegetables,pip fruit,rolls buns,root vegetables,tropical fruit,waffles,whipped sour cream,whole milk"
"UHT-milk,sugar,soda","soda,sugar,uht milk"
"berries,whole milk,flour,baking powder,dog food,chocolate","baking powder,berries,chocolate,dog food,flour,whole milk"
rolls/buns,rolls buns
"whole milk,butter milk,yogurt,beverages,bottled water,soda,newspapers","beverages,bottled water,butter milk,newspapers,soda,whole milk,yogurt"
"pork,whole milk","pork,whole milk"
candles,candles
"pork,other vegetables,whipped/sour cream,rolls/buns,brown bread,pastry,sugar,dishes","brown bread,dishes,other vegetables,pastry,pork,rolls buns,sugar,whipped sour cream"
"salt,detergent","detergent,salt"
"citrus fruit,tropical fruit,whole milk,frozen meals,rolls/buns,brown bread","brown bread,citrus fruit,frozen meals,rolls buns,tropical fruit,whole milk"
"other vegetables,whole milk,frozen vegetables","frozen vegetables,other vegetables,whole milk"
pastry,pastry
waffles,waffles
"curd,rolls/buns,pastry","curd,pastry,rolls buns"
"whole milk,rolls/buns,oil,detergent,shopping bags","detergent,oil,rolls buns,shopping bags,whole milk"
"sausage,root vegetables,other vegetables,frozen vegetables,rolls/buns,white bread,baking powder,bottled beer,detergent","baking powder,bottled beer,detergent,frozen vegetables,other vegetables,rolls buns,root vegetables,sausage,white bread"
"soda,fruit/vegetable juice,long life bakery product","fruit vegetable juice,long life bakery product,soda"
"ice cream,brown bread,pastry,napkins","brown bread,ice cream,napkins,pastry"
"tropical fruit,whole milk,butter milk,brown bread,bottled water","bottled water,brown bread,butter milk,tropical fruit,whole milk"
"ham,pip fruit,root vegetables,other vegetables,whole milk,whipped/sour cream,hard cheese,domestic eggs,margarine","domestic eggs,ham,hard cheese,margarine,other vegetables,pip fruit,root vegetables,whipped sour cream,whole milk"
"meat,tropical fruit,rolls/buns,instant coffee,soda,chocolate,newspapers","chocolate,instant coffee,meat,newspapers,rolls buns,soda,tropical fruit"
"berries,yogurt,domestic eggs,rolls/buns","berries,domestic eggs,rolls buns,yogurt"
"other vegetables,whole milk,rolls/buns,long life bakery product,flower (seeds)","flower seeds ,long life bakery product,other vegetables,rolls buns,whole milk"
"beef,white bread","beef,white bread"
bottled beer,bottled beer
"butter,pastry,cat food,canned beer,hygiene articles,shopping bags","butter,canned beer,cat food,hygiene articles,pastry,shopping bags"
"whole milk,rolls/buns,white bread,soap","rolls buns,soap,white bread,whole milk"
"citrus fruit,whole milk,snack products","citrus fruit,snack products,whole milk"
"frankfurter,tropical fruit,whole milk","frankfurter,tropical fruit,whole milk"
"sausage,chicken,tropical fruit,onions,other vegetables,dessert,whipped/sour cream,UHT-milk,cream cheese,pastry,bottled water,soda,waffles,chewing gum,shopping bags","bottled water,chewing gum,chicken,cream cheese,dessert,onions,other vegetables,pastry,sausage,shopping bags,soda,tropical fruit,uht milk,waffles,whipped sour cream"
hygiene articles,hygiene articles
"frankfurter,sausage,beef,citrus fruit,pip fruit,berries,other vegetables,whole milk,hard cheese,frozen vegetables,pastry,oil,baking powder,dog food,fruit/vegetable juice,bottled beer,specialty chocolate,seasonal products,detergent,soap","baking powder,beef,berries,bottled beer,citrus fruit,detergent,dog food,frankfurter,frozen vegetables,fruit vegetable juice,hard cheese,oil,other vegetables,pastry,pip fruit,sausage,seasonal products,soap,specialty chocolate,whole milk"
shopping bags,shopping bags
"beef,margarine","beef,margarine"
canned beer,canned beer
"frankfurter,pork,dessert,UHT-milk,margarine,specialty fat,napkins","dessert,frankfurter,margarine,napkins,pork,specialty fat,uht milk"
"frankfurter,beef,berries,other vegetables,whole milk","beef,berries,frankfurter,other vegetables,whole milk"
"whole milk,specialty bar","specialty bar,whole milk"
"beef,other vegetables,rolls/buns,pastry,soap","beef,other vegetables,pastry,rolls buns,soap"
canned beer,canned beer
canned beer,canned beer
"whole milk,pastry,cocoa drinks,newspapers","cocoa drinks,newspapers,pastry,whole milk"
"whole milk,instant coffee,bottled beer","bottled beer,instant coffee,whole milk"
"ham,whipped/sour cream,frozen vegetables,rolls/buns,seasonal products","frozen vegetables,ham,rolls buns,seasonal products,whipped sour cream"
brandy,brandy
"frankfurter,grapes,yogurt,coffee,bottled water","bottled water,coffee,frankfurter,grapes,yogurt"
"root vegetables,other vegetables,whole milk,butter milk,frozen meals","butter milk,frozen meals,other vegetables,root vegetables,whole milk"
hygiene articles,hygiene articles
"hamburger meat,packaged fruit/vegetables,whole milk,whipped/sour cream,rolls/buns,bottled water,salty snack,chewing gum","bottled water,chewing gum,hamburger meat,packaged fruit vegetables,rolls buns,salty snack,whipped sour cream,whole milk"
"sausage,red/blush wine,newspapers","newspapers,red blush wine,sausage"
"meat,whole milk,curd,sliced cheese,flour,sugar,pudding powder,bottled water,soda,canned beer","bottled water,canned beer,curd,flour,meat,pudding powder,sliced cheese,soda,sugar,whole milk"
"tropical fruit,whole milk,beverages,processed cheese,pastry,waffles,specialty bar","beverages,pastry,processed cheese,specialty bar,tropical fruit,waffles,whole milk"
"root vegetables,onions,other vegetables,whole milk,frozen dessert,coffee,bottled beer","bottled beer,coffee,frozen dessert,onions,other vegetables,root vegetables,whole milk"
"pip fruit,coffee","coffee,pip fruit"
yogurt,yogurt
"root vegetables,whole milk,curd,yogurt","curd,root vegetables,whole milk,yogurt"
canned beer,canned beer
"pork,other vegetables,whole milk,cereals","cereals,other vegetables,pork,whole milk"
"root vegetables,yogurt,brown bread,shopping bags","brown bread,root vegetables,shopping bags,yogurt"
"sausage,packaged fruit/vegetables,UHT-milk,pastry,soups,bottled water","bottled water,packaged fruit vegetables,pastry,sausage,soups,uht milk"
chocolate,chocolate
"citrus fruit,whole milk,soft cheese,sliced cheese,cream cheese,canned fish","canned fish,citrus fruit,cream cheese,sliced cheese,soft cheese,whole milk"
"chicken,pastry","chicken,pastry"
"whole milk,bottled water,bottled beer","bottled beer,bottled water,whole milk"
packaged fruit/vegetables,packaged fruit vegetables
"whole milk,dessert","dessert,whole milk"
"beef,sugar,canned beer","beef,canned beer,sugar"
"ham,tropical fruit","ham,tropical fruit"
newspapers,newspapers
"frankfurter,processed cheese,domestic eggs,white bread,brown bread,ketchup,soda,hygiene articles","brown bread,domestic eggs,frankfurter,hygiene articles,ketchup,processed cheese,soda,white bread"
"whole milk,semi-finished bread,coffee,canned beer","canned beer,coffee,semi finished bread,whole milk"
"sausage,pip fruit,whole milk,curd,yogurt","curd,pip fruit,sausage,whole milk,yogurt"
"domestic eggs,rolls/buns,coffee,canned beer,brandy,chocolate,shopping bags","brandy,canned beer,chocolate,coffee,domestic eggs,rolls buns,shopping bags"
dishes,dishes
"pork,beef,onions,yogurt,UHT-milk,frozen fish,rolls/buns,margarine,sugar,salty snack,newspapers","beef,frozen fish,margarine,newspapers,onions,pork,rolls buns,salty snack,sugar,uht milk,yogurt"
"tropical fruit,whole milk,cream cheese,oil,cake bar","cake bar,cream cheese,oil,tropical fruit,whole milk"
"yogurt,syrup,chewing gum,newspapers","chewing gum,newspapers,syrup,yogurt"
"hamburger meat,root vegetables,whole milk,whipped/sour cream,flour,chocolate marshmallow,newspapers","chocolate marshmallow,flour,hamburger meat,newspapers,root vegetables,whipped sour cream,whole milk"
canned beer,canned beer
"pet care,soda,chocolate,candy","candy,chocolate,pet care,soda"
"beef,berries,yogurt,whipped/sour cream","beef,berries,whipped sour cream,yogurt"
"chicken,root vegetables,yogurt,cream cheese,napkins","chicken,cream cheese,napkins,root vegetables,yogurt"
"yogurt,frozen vegetables,shopping bags","frozen vegetables,shopping bags,yogurt"
sugar,sugar
newspapers,newspapers
"hard cheese,frozen meals","frozen meals,hard cheese"
"beef,root vegetables,bottled water","beef,bottled water,root vegetables"
"beverages,domestic eggs,misc. beverages","beverages,domestic eggs,misc beverages"
"beef,whole milk,rolls/buns,pastry,cat food,waffles,chocolate,hygiene articles,newspapers,shopping bags","beef,cat food,chocolate,hygiene articles,newspapers,pastry,rolls buns,shopping bags,waffles,whole milk"
rolls/buns,rolls buns
"whole milk,yogurt,baking powder,detergent,flower (seeds),shopping bags","baking powder,detergent,flower seeds ,shopping bags,whole milk,yogurt"
chicken,chicken
"sausage,hamburger meat,root vegetables,whole milk,domestic eggs,white bread,semi-finished bread,honey","domestic eggs,hamburger meat,honey,root vegetables,sausage,semi finished bread,white bread,whole milk"
"citrus fruit,grapes","citrus fruit,grapes"
"red/blush wine,sparkling wine","red blush wine,sparkling wine"
whole milk,whole milk
"pip fruit,other vegetables,canned beer","canned beer,other vegetables,pip fruit"
"turkey,tropical fruit,root vegetables,whole milk,newspapers","newspapers,root vegetables,tropical fruit,turkey,whole milk"
"frankfurter,margarine,bottled water,red/blush wine,long life bakery product","bottled water,frankfurter,long life bakery product,margarine,red blush wine"
canned beer,canned beer
"pastry,soda,chocolate","chocolate,pastry,soda"
"bottled water,brandy,whisky","bottled water,brandy,whisky"
"whole milk,hard cheese,brown bread,bottled beer,hygiene articles,newspapers,shopping bags","bottled beer,brown bread,hard cheese,hygiene articles,newspapers,shopping bags,whole milk"
"citrus fruit,yogurt,newspapers","citrus fruit,newspapers,yogurt"
"whole milk,dessert,yogurt,canned fish,soda,fruit/vegetable juice,shopping bags","canned fish,dessert,fruit vegetable juice,shopping bags,soda,whole milk,yogurt"
"bottled beer,brandy,whisky,chocolate,specialty chocolate,shopping bags","bottled beer,brandy,chocolate,shopping bags,specialty chocolate,whisky"
"liquor,salty snack,chocolate,specialty chocolate,specialty bar,seasonal products,shopping bags","chocolate,liquor,salty snack,seasonal products,shopping bags,specialty bar,specialty chocolate"
"curd,coffee,soda,bottled beer,chocolate,candy,shopping bags","bottled beer,candy,chocolate,coffee,curd,shopping bags,soda"
"other vegetables,whole milk,domestic eggs,margarine,fruit/vegetable juice","domestic eggs,fruit vegetable juice,margarine,other vegetables,whole milk"
"nuts/prunes,soda,chocolate","chocolate,nuts prunes,soda"
"other vegetables,ice cream,oil,liqueur,specialty chocolate,shopping bags","ice cream,liqueur,oil,other vegetables,shopping bags,specialty chocolate"
"UHT-milk,bottled water,fruit/vegetable juice,canned beer","bottled water,canned beer,fruit vegetable juice,uht milk"
"pork,frozen fish,domestic eggs,sugar,misc. beverages,dental care,hygiene articles,shopping bags","dental care,domestic eggs,frozen fish,hygiene articles,misc beverages,pork,shopping bags,sugar"
"sausage,soft cheese,rolls/buns,canned beer","canned beer,rolls buns,sausage,soft cheese"
beverages,beverages
"pastry,soda,specialty bar","pastry,soda,specialty bar"
"root vegetables,whole milk,yogurt,domestic eggs,rolls/buns,long life bakery product,napkins","domestic eggs,long life bakery product,napkins,rolls buns,root vegetables,whole milk,yogurt"
"root vegetables,spices,kitchen towels","kitchen towels,root vegetables,spices"
"beef,root vegetables,other vegetables,white bread,canned fruit,soda,chocolate,newspapers","beef,canned fruit,chocolate,newspapers,other vegetables,root vegetables,soda,white bread"
bathroom cleaner,bathroom cleaner
